run_id,samples,n_episodes,Neg Q1,Neg Q2
0,200,10,0.505,0.01
0,200,20,0.11,0.105
0,200,30,0.015,0.705
0,200,40,0.0,0.25
0,200,50,0.0,0.0
0,200,60,0.0,0.0
0,200,70,0.0,0.0
0,200,80,0.0,0.0
0,200,90,0.0,0.0
0,200,100,0.0,0.0
0,300,10,0.5033,0.01
0,300,20,0.1133,0.0867
0,300,30,0.0133,0.7533
0,300,40,0.0,0.2433
0,300,50,0.0,0.0033
0,300,60,0.0,0.0033
0,300,70,0.0,0.0
0,300,80,0.0,0.0
0,300,90,0.0,0.0033
0,300,100,0.0,0.0
0,3000,10,0.5277,0.01
0,3000,20,0.125,0.094
0,3000,30,0.0177,0.7
0,3000,40,0.0,0.2253
0,3000,50,0.0,0.0023
0,3000,60,0.0,0.0023
0,3000,70,0.0,0.0007
0,3000,80,0.0,0.0023
0,3000,90,0.0,0.001
0,3000,100,0.0,0.002
0,2000,10,0.549,0.011
0,2000,20,0.1045,0.0875
0,2000,30,0.0145,0.7065
0,2000,40,0.0,0.229
0,2000,50,0.0,0.0015
0,2000,60,0.0,0.0005
0,2000,70,0.0,0.0015
0,2000,80,0.0,0.001
0,2000,90,0.0,0.001
0,2000,100,0.0,0.0
1,200,10,0.55,0.015
1,200,20,0.125,0.09
1,200,30,0.01,0.77
1,200,40,0.0,0.22
1,200,50,0.0,0.01
1,200,60,0.0,0.005
1,200,70,0.0,0.0
1,200,80,0.0,0.0
1,200,90,0.0,0.005
1,200,100,0.0,0.005
1,300,10,0.54,0.01
1,300,20,0.11,0.0633
1,300,30,0.0133,0.7267
1,300,40,0.0,0.23
1,300,50,0.0,0.0
1,300,60,0.0,0.0033
1,300,70,0.0,0.0033
1,300,80,0.0,0.0
1,300,90,0.0,0.0033
1,300,100,0.0,0.0
1,3000,10,0.5003,0.0087
1,3000,20,0.1273,0.0917
1,3000,30,0.0187,0.7253
1,3000,40,0.0,0.2277
1,3000,50,0.0,0.0023
1,3000,60,0.0,0.0013
1,3000,70,0.0,0.0027
1,3000,80,0.0,0.001
1,3000,90,0.0,0.0017
1,3000,100,0.0,0.001
1,2000,10,0.527,0.008
1,2000,20,0.1325,0.095
1,2000,30,0.018,0.7165
1,2000,40,0.0,0.224
1,2000,50,0.0,0.002
1,2000,60,0.0,0.0025
1,2000,70,0.0,0.003
1,2000,80,0.0,0.0025
1,2000,90,0.0,0.001
1,2000,100,0.0,0.002
2,200,10,0.525,0.005
2,200,20,0.105,0.11
2,200,30,0.025,0.71
2,200,40,0.0,0.22
2,200,50,0.0,0.0
2,200,60,0.0,0.0
2,200,70,0.0,0.005
2,200,80,0.0,0.0
2,200,90,0.0,0.0
2,200,100,0.0,0.0
2,300,10,0.52,0.0067
2,300,20,0.1033,0.06
2,300,30,0.02,0.69
2,300,40,0.0,0.2333
2,300,50,0.0,0.0033
2,300,60,0.0,0.0033
2,300,70,0.0,0.0
2,300,80,0.0,0.0
2,300,90,0.0,0.0033
2,300,100,0.0,0.0033
2,3000,10,0.5187,0.005
2,3000,20,0.1213,0.0997
2,3000,30,0.0167,0.7
2,3000,40,0.0,0.2207
2,3000,50,0.0,0.0007
2,3000,60,0.0,0.003
2,3000,70,0.0,0.0013
2,3000,80,0.0,0.0023
2,3000,90,0.0,0.001
2,3000,100,0.0,0.0017
2,2000,10,0.538,0.012
2,2000,20,0.1125,0.0895
2,2000,30,0.015,0.721
2,2000,40,0.0,0.2345
2,2000,50,0.0,0.0045
2,2000,60,0.0,0.0
2,2000,70,0.0,0.0015
2,2000,80,0.0,0.0025
2,2000,90,0.0,0.0025
2,2000,100,0.0,0.0005
3,200,10,0.57,0.015
3,200,20,0.155,0.05
3,200,30,0.01,0.77
3,200,40,0.0,0.225
3,200,50,0.0,0.0
3,200,60,0.0,0.005
3,200,70,0.0,0.0
3,200,80,0.0,0.005
3,200,90,0.0,0.0
3,200,100,0.0,0.005
3,300,10,0.5233,0.0033
3,300,20,0.1233,0.08
3,300,30,0.0133,0.7033
3,300,40,0.0,0.2233
3,300,50,0.0,0.0033
3,300,60,0.0,0.0033
3,300,70,0.0,0.0
3,300,80,0.0,0.0
3,300,90,0.0,0.0
3,300,100,0.0,0.0
3,3000,10,0.523,0.0113
3,3000,20,0.1193,0.092
3,3000,30,0.0147,0.729
3,3000,40,0.0,0.2347
3,3000,50,0.0,0.0023
3,3000,60,0.0,0.002
3,3000,70,0.0,0.0017
3,3000,80,0.0,0.0013
3,3000,90,0.0,0.0017
3,3000,100,0.0,0.0027
3,2000,10,0.517,0.011
3,2000,20,0.117,0.087
3,2000,30,0.012,0.702
3,2000,40,0.0,0.2205
3,2000,50,0.0,0.0035
3,2000,60,0.0,0.0015
3,2000,70,0.0,0.0025
3,2000,80,0.0,0.002
3,2000,90,0.0,0.0015
3,2000,100,0.0,0.003
4,200,10,0.49,0.01
4,200,20,0.175,0.09
4,200,30,0.02,0.745
