run_id,samples,n_episodes,Neg Q1,Neg Q2,ProbTest Q1 (holds),ProbTest Q2 (holds)
0,200,10,0.5217,0.0093,0.0,0.0
0,200,20,0.1037,0.0968,0.0,0.0
0,200,30,0.0234,0.7112,0.0,0.0
0,200,40,0.0,0.2344,1.0,0.0
0,200,50,0.0,0.0027,1.0,0.0
0,200,60,0.0,0.001,1.0,0.0
0,200,70,0.0,0.001,1.0,0.0
0,200,80,0.0,0.0013,1.0,0.0
0,200,90,0.0,0.0017,1.0,0.0
0,200,100,0.0,0.0013,1.0,0.0
0,300,10,0.5753,0.0134,0.0,0.0
0,300,20,0.1037,0.0891,0.0,0.0
0,300,30,0.0134,0.7199,0.0,0.0
0,300,40,0.0,0.2174,1.0,0.0
0,300,50,0.0,0.0017,1.0,0.0
0,300,60,0.0,0.0013,1.0,0.0
0,300,70,0.0,0.002,1.0,0.0
0,300,80,0.0,0.0017,1.0,0.0
0,300,90,0.0,0.002,1.0,0.0
0,300,100,0.0,0.0007,1.0,0.0
0,3000,10,0.5217,0.0117,0.0,0.0
0,3000,20,0.1003,0.1022,0.0,0.0
0,3000,30,0.01,0.7329,0.0,0.0
0,3000,40,0.0,0.2267,1.0,0.0
0,3000,50,0.0,0.0017,1.0,0.0
0,3000,60,0.0,0.0017,1.0,0.0
0,3000,70,0.0,0.001,1.0,0.0
0,3000,80,0.0,0.0023,1.0,0.0
0,3000,90,0.0,0.0017,1.0,0.0
0,3000,100,0.0,0.0017,1.0,0.0
0,2000,10,0.5284,0.0097,0.0,0.0
0,2000,20,0.1271,0.0875,0.0,0.0
0,2000,30,0.0134,0.7302,0.0,0.0
0,2000,40,0.0,0.2364,1.0,0.0
0,2000,50,0.0,0.0027,1.0,0.0
0,2000,60,0.0,0.001,1.0,0.0
0,2000,70,0.0,0.001,1.0,0.0
0,2000,80,0.0,0.002,1.0,0.0
0,2000,90,0.0,0.003,1.0,0.0
0,2000,100,0.0,0.0017,1.0,0.0
1,200,10,0.5452,0.0083,0.0,0.0
1,200,20,0.1171,0.0775,0.0,0.0
1,200,30,0.01,0.7132,0.0,0.0
1,200,40,0.0,0.2127,1.0,0.0
1,200,50,0.0,0.0013,1.0,0.0
1,200,60,0.0,0.0007,1.0,0.0
1,200,70,0.0,0.0013,1.0,0.0
1,200,80,0.0,0.002,1.0,0.0
1,200,90,0.0,0.0027,1.0,0.0
1,200,100,0.0,0.0013,1.0,0.0
1,300,10,0.5184,0.0093,0.0,0.0
1,300,20,0.1271,0.0891,0.0,0.0
1,300,30,0.0234,0.7169,0.0,0.0
1,300,40,0.0,0.2321,1.0,0.0
1,300,50,0.0,0.001,1.0,0.0
1,300,60,0.0,0.0027,1.0,0.0
1,300,70,0.0,0.001,1.0,0.0
1,300,80,0.0,0.0017,1.0,0.0
1,300,90,0.0,0.0007,1.0,0.0
1,300,100,0.0,0.0007,1.0,0.0
1,3000,10,0.505,0.008,0.0,0.0
1,3000,20,0.1505,0.1048,0.0,0.0
1,3000,30,0.0134,0.7202,0.0,0.0
1,3000,40,0.0,0.225,1.0,0.0
1,3000,50,0.0,0.0027,1.0,0.0
1,3000,60,0.0,0.0033,1.0,0.0
1,3000,70,0.0,0.0027,1.0,0.0
1,3000,80,0.0,0.0017,1.0,0.0
1,3000,90,0.0,0.0023,1.0,0.0
1,3000,100,0.0,0.001,1.0,0.0
1,2000,10,0.505,0.009,0.0,0.0
1,2000,20,0.1137,0.0952,0.0,0.0
1,2000,30,0.0268,0.7292,0.0,0.0
1,2000,40,0.0,0.2187,1.0,0.0
1,2000,50,0.0,0.0017,1.0,0.0
1,2000,60,0.0,0.0007,1.0,0.0
1,2000,70,0.0,0.0017,1.0,0.0
1,2000,80,0.0,0.0017,1.0,0.0
1,2000,90,0.0,0.002,1.0,0.0
1,2000,100,0.0,0.002,1.0,0.0
2,200,10,0.5485,0.0107,0.0,0.0
2,200,20,0.1137,0.0925,0.0,0.0
2,200,30,0.0134,0.7182,0.0,0.0
2,200,40,0.0,0.2277,1.0,0.0
2,200,50,0.0,0.002,1.0,0.0
2,200,60,0.0,0.0013,1.0,0.0
2,200,70,0.0,0.0013,1.0,0.0
2,200,80,0.0,0.0007,1.0,0.0
2,200,90,0.0,0.001,1.0,0.0
2,200,100,0.0,0.0023,1.0,0.0
2,300,10,0.592,0.0097,0.0,0.0
2,300,20,0.1371,0.0905,0.0,0.0
2,300,30,0.0234,0.7075,0.0,0.0
2,300,40,0.0,0.2334,1.0,0.0
2,300,50,0.0,0.0023,1.0,0.0
2,300,60,0.0,0.0037,1.0,0.0
2,300,70,0.0,0.002,1.0,0.0
2,300,80,0.0,0.0027,1.0,0.0
2,300,90,0.0,0.0007,1.0,0.0
2,300,100,0.0,0.0007,1.0,0.0
2,3000,10,0.5518,0.0093,0.0,0.0
2,3000,20,0.1104,0.0928,0.0,0.0
2,3000,30,0.0134,0.7199,0.0,0.0
2,3000,40,0.0,0.2224,1.0,0.0
2,3000,50,0.0,0.0023,1.0,0.0
2,3000,60,0.0,0.002,1.0,0.0
2,3000,70,0.0,0.0013,1.0,0.0
2,3000,80,0.0,0.0017,1.0,0.0
2,3000,90,0.0,0.001,1.0,0.0
2,3000,100,0.0,0.001,1.0,0.0
2,2000,10,0.5017,0.0077,0.0,0.0
2,2000,20,0.1371,0.0992,0.0,0.0
2,2000,30,0.01,0.7055,0.0,0.0
2,2000,40,0.0,0.2391,1.0,0.0
2,2000,50,0.0,0.0033,1.0,0.0
2,2000,60,0.0,0.0013,1.0,0.0
2,2000,70,0.0,0.003,1.0,0.0
2,2000,80,0.0,0.003,1.0,0.0
2,2000,90,0.0,0.0013,1.0,0.0
2,2000,100,0.0,0.0007,1.0,0.0
3,200,10,0.5351,0.0073,0.0,0.0
3,200,20,0.087,0.0968,0.0,0.0
3,200,30,0.0167,0.7179,0.0,0.0
3,200,40,0.0,0.2284,1.0,0.0
3,200,50,0.0,0.0037,1.0,0.0
3,200,60,0.0,0.0007,1.0,0.0
3,200,70,0.0,0.0013,1.0,0.0
3,200,80,0.0,0.001,1.0,0.0
3,200,90,0.0,0.0013,1.0,0.0
3,200,100,0.0,0.0017,1.0,0.0
3,300,10,0.4883,0.01,0.0,0.0
3,300,20,0.1137,0.0952,0.0,0.0
3,300,30,0.0201,0.7088,0.0,0.0
3,300,40,0.0,0.2144,1.0,0.0
3,300,50,0.0,0.0017,1.0,0.0
3,300,60,0.0,0.0017,1.0,0.0
3,300,70,0.0,0.0013,1.0,0.0
3,300,80,0.0,0.0007,1.0,0.0
3,300,90,0.0,0.0043,1.0,0.0
3,300,100,0.0,0.001,1.0,0.0
3,3000,10,0.5351,0.0134,0.0,0.0
3,3000,20,0.1037,0.0922,0.0,0.0
3,3000,30,0.0268,0.7249,0.0,0.0
3,3000,40,0.0,0.2237,1.0,0.0
3,3000,50,0.0,0.0027,1.0,0.0
3,3000,60,0.0,0.0017,1.0,0.0
3,3000,70,0.0,0.0023,1.0,0.0
3,3000,80,0.0,0.001,1.0,0.0
3,3000,90,0.0,0.0017,1.0,0.0
3,3000,100,0.0,0.002,1.0,0.0
3,2000,10,0.5251,0.008,0.0,0.0
3,2000,20,0.1137,0.0962,0.0,0.0
3,2000,30,0.0167,0.7219,0.0,0.0
3,2000,40,0.0,0.2217,1.0,0.0
3,2000,50,0.0,0.003,1.0,0.0
3,2000,60,0.0,0.0013,1.0,0.0
3,2000,70,0.0,0.0017,1.0,0.0
3,2000,80,0.0,0.0017,1.0,0.0
3,2000,90,0.0,0.0007,1.0,0.0
3,2000,100,0.0,0.0013,1.0,0.0
4,200,10,0.5151,0.009,0.0,0.0
4,200,20,0.1304,0.1022,0.0,0.0
4,200,30,0.01,0.7152,0.0,0.0
4,200,40,0.0,0.2311,1.0,0.0
4,200,50,0.0,0.0013,1.0,0.0
4,200,60,0.0,0.0023,1.0,0.0
4,200,70,0.0,0.0013,1.0,0.0
4,200,80,0.0,0.002,1.0,0.0
4,200,90,0.0,0.0027,1.0,0.0
4,200,100,0.0,0.0013,1.0,0.0
4,300,10,0.5719,0.0093,0.0,0.0
4,300,20,0.1505,0.0895,0.0,0.0
4,300,30,0.01,0.7265,0.0,0.0
4,300,40,0.0,0.2371,1.0,0.0
4,300,50,0.0,0.0017,1.0,0.0
4,300,60,0.0,0.0013,1.0,0.0
4,300,70,0.0,0.0013,1.0,0.0
4,300,80,0.0,0.002,1.0,0.0
4,300,90,0.0,0.002,1.0,0.0
4,300,100,0.0,0.0027,1.0,0.0
4,3000,10,0.5485,0.0117,0.0,0.0
4,3000,20,0.1037,0.0902,0.0,0.0
4,3000,30,0.0234,0.7085,0.0,0.0
4,3000,40,0.0,0.2254,1.0,0.0
4,3000,50,0.0,0.0023,1.0,0.0
4,3000,60,0.0,0.0017,1.0,0.0
4,3000,70,0.0,0.003,1.0,0.0
4,3000,80,0.0,0.0007,1.0,0.0
4,3000,90,0.0,0.0013,1.0,0.0
4,3000,100,0.0,0.003,1.0,0.0
4,2000,10,0.5184,0.0087,0.0,0.0
4,2000,20,0.1137,0.0948,0.0,0.0
4,2000,30,0.0301,0.7098,0.0,0.0
4,2000,40,0.0,0.223,1.0,0.0
4,2000,50,0.0,0.0023,1.0,0.0
4,2000,60,0.0,0.001,1.0,0.0
4,2000,70,0.0,0.004,1.0,0.0
4,2000,80,0.0,0.0013,1.0,0.0
4,2000,90,0.0,0.003,1.0,0.0
4,2000,100,0.0,0.0023,1.0,0.0
5,200,10,0.4816,0.0063,0.0,0.0
5,200,20,0.1037,0.0942,0.0,0.0
5,200,30,0.0268,0.7105,0.0,0.0
5,200,40,0.0,0.2307,1.0,0.0
5,200,50,0.0,0.001,1.0,0.0
5,200,60,0.0,0.0013,1.0,0.0
5,200,70,0.0,0.0017,1.0,0.0
5,200,80,0.0,0.001,1.0,0.0
5,200,90,0.0,0.0023,1.0,0.0
5,200,100,0.0,0.0033,1.0,0.0
5,300,10,0.5217,0.0107,0.0,0.0
5,300,20,0.0936,0.1028,0.0,0.0
5,300,30,0.01,0.7119,0.0,0.0
5,300,40,0.0,0.2274,1.0,0.0
5,300,50,0.0,0.0017,1.0,0.0
5,300,60,0.0,0.0017,1.0,0.0
5,300,70,0.0,0.0027,1.0,0.0
5,300,80,0.0,0.0023,1.0,0.0
5,300,90,0.0,0.001,1.0,0.0
5,300,100,0.0,0.0017,1.0,0.0
5,3000,10,0.5151,0.0097,0.0,0.0
5,3000,20,0.097,0.0928,0.0,0.0
5,3000,30,0.0201,0.7112,0.0,0.0
5,3000,40,0.0,0.2033,1.0,0.0
5,3000,50,0.0,0.0013,1.0,0.0
5,3000,60,0.0,0.0033,1.0,0.0
5,3000,70,0.0,0.0017,1.0,0.0
5,3000,80,0.0,0.0027,1.0,0.0
5,3000,90,0.0,0.002,1.0,0.0
5,3000,100,0.0,0.0017,1.0,0.0
5,2000,10,0.5619,0.0097,0.0,0.0
5,2000,20,0.1538,0.0978,0.0,0.0
5,2000,30,0.0134,0.7275,0.0,0.0
5,2000,40,0.0,0.2257,1.0,0.0
5,2000,50,0.0,0.001,1.0,0.0
5,2000,60,0.0,0.002,1.0,0.0
5,2000,70,0.0,0.0007,1.0,0.0
5,2000,80,0.0,0.0023,1.0,0.0
5,2000,90,0.0,0.0017,1.0,0.0
5,2000,100,0.0,0.0013,1.0,0.0
6,200,10,0.5518,0.0083,0.0,0.0
6,200,20,0.1472,0.0908,0.0,0.0
6,200,30,0.0268,0.7235,0.0,0.0
6,200,40,0.0,0.2307,1.0,0.0
6,200,50,0.0,0.0013,1.0,0.0
6,200,60,0.0,0.0017,1.0,0.0
6,200,70,0.0,0.0013,1.0,0.0
6,200,80,0.0,0.0007,1.0,0.0
6,200,90,0.0,0.0033,1.0,0.0
6,200,100,0.0,0.0017,1.0,0.0
6,300,10,0.5251,0.007,0.0,0.0
6,300,20,0.1137,0.0998,0.0,0.0
6,300,30,0.0234,0.7088,0.0,0.0
6,300,40,0.0,0.2237,1.0,0.0
6,300,50,0.0,0.002,1.0,0.0
6,300,60,0.0,0.001,1.0,0.0
6,300,70,0.0,0.0037,1.0,0.0
6,300,80,0.0,0.002,1.0,0.0
6,300,90,0.0,0.002,1.0,0.0
6,300,100,0.0,0.0027,1.0,0.0
6,3000,10,0.5786,0.0117,0.0,0.0
6,3000,20,0.1003,0.0942,0.0,0.0
6,3000,30,0.0468,0.7189,0.0,0.0
6,3000,40,0.0,0.2254,1.0,0.0
6,3000,50,0.0,0.0027,1.0,0.0
6,3000,60,0.0,0.0017,1.0,0.0
6,3000,70,0.0,0.0017,1.0,0.0
6,3000,80,0.0,0.001,1.0,0.0
6,3000,90,0.0,0.0013,1.0,0.0
6,3000,100,0.0,0.0013,1.0,0.0
6,2000,10,0.5217,0.009,0.0,0.0
6,2000,20,0.1037,0.0965,0.0,0.0
6,2000,30,0.0268,0.7232,0.0,0.0
6,2000,40,0.0,0.2204,1.0,0.0
6,2000,50,0.0,0.003,1.0,0.0
6,2000,60,0.0,0.002,1.0,0.0
6,2000,70,0.0,0.0017,1.0,0.0
6,2000,80,0.0,0.002,1.0,0.0
6,2000,90,0.0,0.0007,1.0,0.0
6,2000,100,0.0,0.002,1.0,0.0
7,200,10,0.5585,0.0177,0.0,0.0
7,200,20,0.1204,0.0821,0.0,0.0
7,200,30,0.0167,0.7212,0.0,0.0
7,200,40,0.0,0.2277,1.0,0.0
7,200,50,0.0,0.001,1.0,0.0
7,200,60,0.0,0.003,1.0,0.0
7,200,70,0.0,0.001,1.0,0.0
7,200,80,0.0,0.002,1.0,0.0
7,200,90,0.0,0.0027,1.0,0.0
7,200,100,0.0,0.0017,1.0,0.0
7,300,10,0.4883,0.0093,0.0,0.0
7,300,20,0.1472,0.0988,0.0,0.0
7,300,30,0.0334,0.7105,0.0,0.0
7,300,40,0.0,0.21,1.0,0.0
7,300,50,0.0,0.0017,1.0,0.0
7,300,60,0.0,0.0013,1.0,0.0
7,300,70,0.0,0.0017,1.0,0.0
7,300,80,0.0,0.002,1.0,0.0
7,300,90,0.0,0.001,1.0,0.0
7,300,100,0.0,0.0013,1.0,0.0
7,3000,10,0.4682,0.0117,0.0,0.0
7,3000,20,0.1171,0.0972,0.0,0.0
7,3000,30,0.0201,0.7182,0.0,0.0
7,3000,40,0.0,0.2264,1.0,0.0
7,3000,50,0.0,0.001,1.0,0.0
7,3000,60,0.0,0.0013,1.0,0.0
7,3000,70,0.0,0.0003,1.0,0.0
7,3000,80,0.0,0.0027,1.0,0.0
7,3000,90,0.0,0.0007,1.0,0.0
7,3000,100,0.0,0.0023,1.0,0.0
7,2000,10,0.5351,0.009,0.0,0.0
7,2000,20,0.1271,0.1022,0.0,0.0
7,2000,30,0.0234,0.7162,0.0,0.0
7,2000,40,0.0,0.223,1.0,0.0
7,2000,50,0.0,0.0023,1.0,0.0
7,2000,60,0.0,0.001,1.0,0.0
7,2000,70,0.0,0.0007,1.0,0.0
7,2000,80,0.0,0.003,1.0,0.0
7,2000,90,0.0,0.0023,1.0,0.0
7,2000,100,0.0,0.003,1.0,0.0
8,200,10,0.5786,0.013,0.0,0.0
8,200,20,0.0903,0.1012,0.0,0.0
8,200,30,0.0301,0.7225,0.0,0.0
8,200,40,0.0,0.22,1.0,0.0
8,200,50,0.0,0.0027,1.0,0.0
8,200,60,0.0,0.001,1.0,0.0
8,200,70,0.0,0.002,1.0,0.0
8,200,80,0.0,0.0013,1.0,0.0
8,200,90,0.0,0.0017,1.0,0.0
8,200,100,0.0,0.0007,1.0,0.0
8,300,10,0.5552,0.0093,0.0,0.0
8,300,20,0.0936,0.0968,0.0,0.0
8,300,30,0.0201,0.7132,0.0,0.0
8,300,40,0.0,0.2314,1.0,0.0
8,300,50,0.0,0.0017,1.0,0.0
8,300,60,0.0,0.0017,1.0,0.0
8,300,70,0.0,0.0017,1.0,0.0
8,300,80,0.0,0.0027,1.0,0.0
8,300,90,0.0,0.0013,1.0,0.0
8,300,100,0.0,0.0017,1.0,0.0
8,3000,10,0.495,0.009,0.0,0.0
8,3000,20,0.1137,0.1018,0.0,0.0
8,3000,30,0.01,0.7172,0.0,0.0
8,3000,40,0.0,0.2134,1.0,0.0
8,3000,50,0.0,0.001,1.0,0.0
8,3000,60,0.0,0.0003,1.0,0.0
8,3000,70,0.0,0.0017,1.0,0.0
8,3000,80,0.0,0.0013,1.0,0.0
8,3000,90,0.0,0.0017,1.0,0.0
8,3000,100,0.0,0.0017,1.0,0.0
8,2000,10,0.5151,0.01,0.0,0.0
8,2000,20,0.1104,0.1018,0.0,0.0
8,2000,30,0.0268,0.7072,0.0,0.0
8,2000,40,0.0,0.2234,1.0,0.0
8,2000,50,0.0,0.0017,1.0,0.0
8,2000,60,0.0,0.0013,1.0,0.0
8,2000,70,0.0,0.002,1.0,0.0
8,2000,80,0.0,0.002,1.0,0.0
8,2000,90,0.0,0.001,1.0,0.0
8,2000,100,0.0,0.0017,1.0,0.0
9,200,10,0.4749,0.0087,0.0,0.0
9,200,20,0.1204,0.0972,0.0,0.0
9,200,30,0.0201,0.7272,0.0,0.0
9,200,40,0.0,0.2154,1.0,0.0
9,200,50,0.0,0.0017,1.0,0.0
9,200,60,0.0,0.003,1.0,0.0
9,200,70,0.0,0.0013,1.0,0.0
9,200,80,0.0,0.001,1.0,0.0
9,200,90,0.0,0.0033,1.0,0.0
9,200,100,0.0,0.001,1.0,0.0
9,300,10,0.5485,0.0117,0.0,0.0
9,300,20,0.1304,0.0922,0.0,0.0
9,300,30,0.0167,0.6902,0.0,0.0
9,300,40,0.0,0.2311,1.0,0.0
9,300,50,0.0,0.0013,1.0,0.0
9,300,60,0.0,0.0023,1.0,0.0
9,300,70,0.0,0.0017,1.0,0.0
9,300,80,0.0,0.002,1.0,0.0
9,300,90,0.0,0.0017,1.0,0.0
9,300,100,0.0,0.0017,1.0,0.0
9,3000,10,0.5251,0.0083,0.0,0.0
9,3000,20,0.1104,0.0968,0.0,0.0
9,3000,30,0.0234,0.7145,0.0,0.0
9,3000,40,0.0,0.2234,1.0,0.0
9,3000,50,0.0,0.0027,1.0,0.0
9,3000,60,0.0,0.003,1.0,0.0
9,3000,70,0.0,0.0013,1.0,0.0
