pBug,epsilon,failed,passed,runtime
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.48
0.25,0.05,8,18,0.47
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.47
0.25,0.05,8,18,0.51
0.25,0.05,9,17,0.47
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.46
0.25,0.05,8,18,0.49
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.50
0.25,0.05,9,17,0.52
0.25,0.05,8,18,0.51
0.25,0.05,9,17,0.50
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.50
0.25,0.05,8,18,0.49
0.25,0.05,9,17,0.47
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.48
0.25,0.05,8,18,0.51
0.25,0.05,9,17,0.51
0.25,0.05,9,17,0.50
0.25,0.05,9,17,0.51
0.25,0.05,8,18,0.48
0.25,0.05,9,17,0.51
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.52
0.25,0.05,7,19,0.51
0.25,0.05,9,17,0.51
0.25,0.05,8,18,0.52
0.25,0.05,9,17,0.51
0.25,0.05,9,17,0.49
0.25,0.05,8,18,0.52
0.25,0.05,9,17,0.51
0.25,0.05,9,17,0.47
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.52
0.25,0.05,8,18,0.50
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.49
0.25,0.05,8,18,0.49
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.53
0.25,0.05,8,18,0.52
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.52
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.52
0.25,0.05,9,17,0.49
0.25,0.05,8,18,0.48
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.52
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.50
0.25,0.05,9,17,0.52
0.25,0.05,8,18,0.50
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.49
0.25,0.05,8,18,0.52
0.25,0.05,9,17,0.53
0.25,0.05,8,18,0.53
0.25,0.05,9,17,0.49
0.25,0.05,8,18,0.53
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.50
0.25,0.05,8,18,0.52
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.52
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.52
0.25,0.05,9,17,0.49
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.50
0.25,0.05,7,19,0.53
0.25,0.05,9,17,0.49
0.25,0.05,8,18,0.48
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.53
0.25,0.05,8,18,0.48
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.48
0.25,0.05,9,17,0.50
0.25,0.05,8,18,0.49
0.25,0.05,9,17,0.48
